Entity,Code,Year,Fossil fuels (TWh growth)
Asia,,2021,3913.9296875
Asia Pacific (BP),,1966,427.3486328125
Asia Pacific (BP),,1967,295.73876953125
Asia Pacific (BP),,1968,415.03466796875
Asia Pacific (BP),,1969,851.77587890625
Asia Pacific (BP),,1970,966.6171875
Asia Pacific (BP),,1971,727.296875
Asia Pacific (BP),,1972,518.0322265625
Asia Pacific (BP),,1973,791.9150390625
Asia Pacific (BP),,1974,127.90625
Asia Pacific (BP),,1975,335.5615234375
Asia Pacific (BP),,1976,504.9716796875
Asia Pacific (BP),,1977,694.337890625
Asia Pacific (BP),,1978,710.75390625
Asia Pacific (BP),,1979,495.3056640625
Asia Pacific (BP),,1980,-17.099609375
Asia Pacific (BP),,1981,26.646484375
Asia Pacific (BP),,1982,79.6796875
Asia Pacific (BP),,1983,485.9130859375
Asia Pacific (BP),,1984,942.197265625
Asia Pacific (BP),,1985,593.8291015625
Asia Pacific (BP),,1986,602.169921875
Asia Pacific (BP),,1987,845.7900390625
Asia Pacific (BP),,1988,1248.26953125
Asia Pacific (BP),,1989,901.708984375
Asia Pacific (BP),,1990,758.373046875
Asia Pacific (BP),,1991,876.916015625
Asia Pacific (BP),,1992,1026.70703125
Asia Pacific (BP),,1993,1010.291015625
Asia Pacific (BP),,1994,1235.671875
Asia Pacific (BP),,1995,1087.150390625
Asia Pacific (BP),,1996,1246.1171875
Asia Pacific (BP),,1997,770.400390625
Asia Pacific (BP),,1998,-203.83984375
Asia Pacific (BP),,1999,1063.048828125
Asia Pacific (BP),,2000,1046.09375
Asia Pacific (BP),,2001,886.619140625
Asia Pacific (BP),,2002,1519.275390625
Asia Pacific (BP),,2003,2937.404296875
Asia Pacific (BP),,2004,3123.5390625
Asia Pacific (BP),,2005,2974.70703125
Asia Pacific (BP),,2006,2293.421875
Asia Pacific (BP),,2007,2766.265625
Asia Pacific (BP),,2008,1004.26171875
Asia Pacific (BP),,2009,1095.78515625
Asia Pacific (BP),,2010,2792.19921875
Asia Pacific (BP),,2011,2927.93359375
Asia Pacific (BP),,2012,1780.96484375
Asia Pacific (BP),,2013,1156.16796875
Asia Pacific (BP),,2014,1022.8359375
Asia Pacific (BP),,2015,681.01953125
Asia Pacific (BP),,2016,813.14453125
Asia Pacific (BP),,2017,1492.30859375
Asia Pacific (BP),,2018,1800.24609375
Asia Pacific (BP),,2019,1054.76953125
Asia Pacific (BP),,2020,-1408.33984375
Asia Pacific (BP),,2021,3286.2109375
Australia,AUS,1966,21.39910888671875
Australia,AUS,1967,26.20135498046875
Australia,AUS,1968,27.60693359375
Australia,AUS,1969,18.568389892578125
Australia,AUS,1970,43.341400146484375
Australia,AUS,1971,24.74688720703125
Australia,AUS,1972,27.09747314453125
Australia,AUS,1973,40.90966796875
Australia,AUS,1974,37.5587158203125
Australia,AUS,1975,8.8095703125
Australia,AUS,1976,27.374267578125
Australia,AUS,1977,38.85931396484375
Australia,AUS,1978,21.9833984375
Australia,AUS,1979,31.29852294921875
Australia,AUS,1980,5.36578369140625
Australia,AUS,1981,12.30419921875
Australia,AUS,1982,-4.9910888671875
Australia,AUS,1983,-26.796630859375
Australia,AUS,1984,28.485107421875
Australia,AUS,1985,22.693359375
Australia,AUS,1986,17.07012939453125
Australia,AUS,1987,27.463134765625
Australia,AUS,1988,39.3048095703125
Australia,AUS,1989,48.61968994140625
Australia,AUS,1990,19.64117431640625
Australia,AUS,1991,-10.28558349609375
Australia,AUS,1992,16.16912841796875
Australia,AUS,1993,20.55938720703125
Australia,AUS,1994,41.9853515625
Australia,AUS,1995,49.9403076171875
Australia,AUS,1996,32.4404296875
Australia,AUS,1997,29.0208740234375
Australia,AUS,1998,29.185546875
Australia,AUS,1999,49.330810546875
Australia,AUS,2000,7.8568115234375
Australia,AUS,2001,11.275390625
Australia,AUS,2002,24.525390625
Australia,AUS,2003,17.22900390625
Australia,AUS,2004,41.5286865234375
Australia,AUS,2005,1.76123046875
Australia,AUS,2006,59.0572509765625
Australia,AUS,2007,37.6995849609375
Australia,AUS,2008,29.0860595703125
Australia,AUS,2009,-24.990478515625
Australia,AUS,2010,-6.6011962890625
Australia,AUS,2011,23.2945556640625
Australia,AUS,2012,-21.5618896484375
Australia,AUS,2013,5.5201416015625
Australia,AUS,2014,18.5079345703125
Australia,AUS,2015,29.4217529296875
Australia,AUS,2016,-8.45361328125
Australia,AUS,2017,1.75537109375
Australia,AUS,2018,-5.574951171875
Australia,AUS,2019,43.134521484375
Australia,AUS,2020,-108.16015625
Australia,AUS,2021,-38.2587890625
Austria,AUT,1966,5.1364593505859375
Austria,AUT,1967,0.9532012939453125
Austria,AUT,1968,12.438034057617188
Austria,AUT,1969,12.0228271484375
Austria,AUT,1970,18.704269409179688
Austria,AUT,1971,12.151473999023438
Austria,AUT,1972,7.359222412109375
Austria,AUT,1973,14.002227783203125
Austria,AUT,1974,-8.90631103515625
Austria,AUT,1975,-5.1009979248046875
Austria,AUT,1976,19.3800048828125
Austria,AUT,1977,-12.174285888671875
Austria,AUT,1978,12.532989501953125
Austria,AUT,1979,8.695083618164062
Austria,AUT,1980,-4.339080810546875
Austria,AUT,1981,-14.49114990234375
Austria,AUT,1982,-10.3433837890625
Austria,AUT,1983,0.03106689453125
Austria,AUT,1984,8.082061767578125
Austria,AUT,1985,3.7177886962890625
Austria,AUT,1986,-0.8504638671875
Austria,AUT,1987,5.5435028076171875
Austria,AUT,1988,-5.08868408203125
Austria,AUT,1989,2.3131866455078125
Austria,AUT,1990,14.565078735351562
Austria,AUT,1991,16.265960693359375
Austria,AUT,1992,-15.949951171875
Austria,AUT,1993,0.5434417724609375
Austria,AUT,1994,1.3073272705078125
Austria,AUT,1995,10.915679931640625
Austria,AUT,1996,9.74969482421875
Austria,AUT,1997,1.71783447265625
Austria,AUT,1998,2.38885498046875
Austria,AUT,1999,-1.065155029296875
Austria,AUT,2000,-1.71533203125
Austria,AUT,2001,18.015167236328125
Austria,AUT,2002,2.436187744140625
Austria,AUT,2003,24.228973388671875
Austria,AUT,2004,-4.71685791015625
Austria,AUT,2005,3.94439697265625
Austria,AUT,2006,-5.90179443359375
Austria,AUT,2007,-16.21307373046875
Austria,AUT,2008,3.985687255859375
Austria,AUT,2009,-21.052642822265625
Austria,AUT,2010,20.147064208984375
Austria,AUT,2011,-14.794342041015625
Austria,AUT,2012,-7.18060302734375
Austria,AUT,2013,0.917877197265625
Austria,AUT,2014,-16.087356567382812
Austria,AUT,2015,6.9148712158203125
Austria,AUT,2016,5.798126220703125
Austria,AUT,2017,10.659515380859375
Austria,AUT,2018,-6.688629150390625
Austria,AUT,2019,8.8779296875
Austria,AUT,2020,-28.5687255859375
Austria,AUT,2021,10.3353271484375
Azerbaijan,AZE,1986,19.386749267578125
Azerbaijan,AZE,1987,-7.8116455078125
Azerbaijan,AZE,1988,0.49517822265625
Azerbaijan,AZE,1989,4.8475189208984375
Azerbaijan,AZE,1990,7.6614532470703125
Azerbaijan,AZE,1991,-10.49951171875
Azerbaijan,AZE,1992,-35.92195129394531
Azerbaijan,AZE,1993,-30.420516967773438
Azerbaijan,AZE,1994,-13.3531494140625
Azerbaijan,AZE,1995,-9.406478881835938
Azerbaijan,AZE,1996,-28.851104736328125
Azerbaijan,AZE,1997,-6.103546142578125
Azerbaijan,AZE,1998,-0.2161865234375
Azerbaijan,AZE,1999,0.7673187255859375
Azerbaijan,AZE,2000,5.4515533447265625
Azerbaijan,AZE,2001,-4.013328552246094
Azerbaijan,AZE,2002,-3.5476760864257812
Azerbaijan,AZE,2003,9.02532958984375
Azerbaijan,AZE,2004,17.399688720703125
Azerbaijan,AZE,2005,12.261260986328125
Azerbaijan,AZE,2006,-1.29339599609375
Azerbaijan,AZE,2007,-15.164962768554688
Azerbaijan,AZE,2008,1.84454345703125
Azerbaijan,AZE,2009,-17.593597412109375
Azerbaijan,AZE,2010,-4.7316436767578125
Azerbaijan,AZE,2011,16.703018188476562
Azerbaijan,AZE,2012,6.63458251953125
Azerbaijan,AZE,2013,4.9028778076171875
Azerbaijan,AZE,2014,3.3384552001953125
Azerbaijan,AZE,2015,13.743148803710938
Azerbaijan,AZE,2016,-2.5474700927734375
Azerbaijan,AZE,2017,-2.6533050537109375
Azerbaijan,AZE,2018,4.63922119140625
Azerbaijan,AZE,2019,9.782180786132812
Azerbaijan,AZE,2020,-1.9443359375
Azerbaijan,AZE,2021,5.33282470703125
Bangladesh,BGD,1972,1.7837238311767578
Bangladesh,BGD,1973,3.8283605575561523
Bangladesh,BGD,1974,1.5265121459960938
Bangladesh,BGD,1975,0.013860702514648438
Bangladesh,BGD,1976,3.3903961181640625
Bangladesh,BGD,1977,0.7137489318847656
Bangladesh,BGD,1978,1.3816795349121094
Bangladesh,BGD,1979,2.5314559936523438
Bangladesh,BGD,1980,4.967315673828125
Bangladesh,BGD,1981,1.965118408203125
Bangladesh,BGD,1982,4.103263854980469
Bangladesh,BGD,1983,-0.8621749877929688
Bangladesh,BGD,1984,2.55743408203125
Bangladesh,BGD,1985,5.298786163330078
Bangladesh,BGD,1986,5.117042541503906
Bangladesh,BGD,1987,5.249855041503906
Bangladesh,BGD,1988,6.124622344970703
Bangladesh,BGD,1989,4.313407897949219
Bangladesh,BGD,1990,4.348609924316406
Bangladesh,BGD,1991,-2.4657669067382812
Bangladesh,BGD,1992,6.580131530761719
Bangladesh,BGD,1993,8.281112670898438
Bangladesh,BGD,1994,4.547599792480469
Bangladesh,BGD,1995,17.8231201171875
Bangladesh,BGD,1996,4.0086212158203125
Bangladesh,BGD,1997,5.7474822998046875
Bangladesh,BGD,1998,7.236663818359375
Bangladesh,BGD,1999,1.5208053588867188
Bangladesh,BGD,2000,9.383842468261719
Bangladesh,BGD,2001,18.76171875
Bangladesh,BGD,2002,5.65716552734375
Bangladesh,BGD,2003,9.618927001953125
Bangladesh,BGD,2004,5.8568267822265625
Bangladesh,BGD,2005,13.803756713867188
Bangladesh,BGD,2006,15.836090087890625
Bangladesh,BGD,2007,4.83404541015625
Bangladesh,BGD,2008,11.658340454101562
